year,quarter,total_minutes
2013,3,469.81
2014,1,62.36
2015,3,2141.86
2016,4,5187.99
2017,3,11258.08
2018,4,7480.33
2019,3,11114.29
2020,4,19152.04
2021,1,16009.11
2022,1,11724.16
2023,1,8934.09
2024,1,10516.43
