year,platform_name,total_minutes
2013,windows,307.45
2014,windows,62.36
2015,android,3057.29
2016,android,8591.1
2017,android,34219.04
2018,android,27594.73
2019,android,27893.9
2020,android,43009.48
2021,android,53287.5
2022,android,38417.44
2023,android,27628.93
2024,android,27491.25
