year,total_minutes
2013,469.81
2014,62.36
2015,3554.92
2016,11806.31
2017,40087.31
2018,28441.96
2019,28744.72
2020,52276.08
2021,53484.75
2022,38453.23
2023,30903.82
2024,28962.33
